year,group,value
2022,Total assessed,150388
2022,Total threatened,42108
2021,Total assessed,142577
2021,Total threatened,40084
2020,Total assessed,128918
2020,Total threatened,35765
2019,Total assessed,112432
2019,Total threatened,30178
2018,Total assessed,96951
2018,Total threatened,26840
2017,Total assessed,91523
2017,Total threatened,25821
2016,Total assessed,85604
2016,Total threatened,24307
2015,Total assessed,79837
2015,Total threatened,23250
2014,Total assessed,76199
2014,Total threatened,22413
2013,Total assessed,71576
2013,Total threatened,21286
2012,Total assessed,65518
2012,Total threatened,20219
2011,Total assessed,61914
2011,Total threatened,19570
2010,Total assessed,55926
2010,Total threatened,18351
2009,Total assessed,47677
2009,Total threatened,17291
2008,Total assessed,44838
2008,Total threatened,16928
2007,Total assessed,41415
2007,Total threatened,16306
2006,Total assessed,40174
2006,Total threatened,16116
2004,Total assessed,38046
2004,Total threatened,15503
2003,Total assessed,22424
2003,Total threatened,12259
2002,Total assessed,16697
2002,Total threatened,11167
2000,Total assessed,16507
2000,Total threatened,11046
1998,Total assessed,NA
1998,Total threatened,10533
